,pct_barrier_reason_other,barrier_reason_other_se,pct_barrier_reason_other_unw,barrier_reason_other_se_unw,sample_size,country,iso_code,gid_0,survey_date
58,0.052677999999999996,0.017244,0.064815,0.016752,216,Tunisia,TUN,TUN,20210405
59,0.025186,0.011032,0.045833,0.013498999999999999,240,Tunisia,TUN,TUN,20210406
60,0.046292,0.016333,0.066327,0.017775,196,Tunisia,TUN,TUN,20210407
61,0.084745,0.030775,0.06726499999999999,0.016773,223,Tunisia,TUN,TUN,20210408
62,0.07489599999999999,0.026543999999999998,0.063107,0.016940999999999998,206,Tunisia,TUN,TUN,20210409
63,0.052281999999999995,0.021325999999999998,0.04712,0.015332,191,Tunisia,TUN,TUN,20210410
64,0.095554,0.038180000000000006,0.075676,0.019445,185,Tunisia,TUN,TUN,20210411
65,0.094585,0.043786,0.051428999999999996,0.016696,175,Tunisia,TUN,TUN,20210412
66,0.007248999999999999,0.0065119999999999996,0.012121,0.008518999999999999,165,Tunisia,TUN,TUN,20210413
67,0.046411,0.015818,0.07692299999999999,0.019752,182,Tunisia,TUN,TUN,20210414
68,0.027957,0.012905999999999999,0.031963,0.011885999999999999,219,Tunisia,TUN,TUN,20210415
69,0.062641,0.030917,0.068807,0.017144,218,Tunisia,TUN,TUN,20210416
70,0.044216,0.019344,0.056225,0.014598,249,Tunisia,TUN,TUN,20210417
71,0.061237,0.022685999999999998,0.055555999999999994,0.014974,234,Tunisia,TUN,TUN,20210418
72,0.071298,0.023478,0.061224,0.017124,196,Tunisia,TUN,TUN,20210419
73,0.074679,0.030230999999999997,0.053763,0.016538,186,Tunisia,TUN,TUN,20210420
74,0.066165,0.022940000000000002,0.075117,0.018060000000000003,213,Tunisia,TUN,TUN,20210421
75,0.040028999999999995,0.013222999999999999,0.074627,0.018536,201,Tunisia,TUN,TUN,20210422
76,0.019712,0.010119,0.034682,0.013911,173,Tunisia,TUN,TUN,20210423
77,0.022775,0.009682,0.03271,0.012159,214,Tunisia,TUN,TUN,20210424
78,0.057864,0.018179,0.06550199999999999,0.016349,229,Tunisia,TUN,TUN,20210425
79,0.13441899999999998,0.040489,0.079208,0.019001999999999998,202,Tunisia,TUN,TUN,20210426
80,0.06535099999999999,0.019816,0.071749,0.017282,223,Tunisia,TUN,TUN,20210427
81,0.063764,0.019743,0.07373299999999999,0.017741,217,Tunisia,TUN,TUN,20210428
82,0.09405899999999999,0.044893999999999996,0.048387,0.015733999999999998,186,Tunisia,TUN,TUN,20210429
83,0.028041999999999997,0.010950999999999999,0.047618999999999995,0.015490000000000002,189,Tunisia,TUN,TUN,20210430
84,0.072014,0.027795999999999998,0.060747999999999996,0.016329,214,Tunisia,TUN,TUN,20210501
85,0.058351999999999994,0.019077,0.08080799999999999,0.019369,198,Tunisia,TUN,TUN,20210502
86,0.048891,0.023424999999999998,0.039548,0.014648999999999999,177,Tunisia,TUN,TUN,20210503
87,0.048525,0.025810999999999997,0.057470999999999994,0.017644,174,Tunisia,TUN,TUN,20210504
88,0.067477,0.033986999999999996,0.063291,0.019371,158,Tunisia,TUN,TUN,20210505
89,0.02849,0.013966999999999999,0.035713999999999996,0.014317999999999999,168,Tunisia,TUN,TUN,20210506
