,pct_modified_acceptance,modified_acceptance_se,pct_modified_acceptance_unw,modified_acceptance_se_unw,sample_size,country,iso_code,gid_0,survey_date
48,0.456846552046672,0.041447653670820005,0.507002801120448,0.026460210643020003,357,Tunisia,TUN,TUN,20210207
49,0.515512096410725,0.04744202910537,0.528481012658227,0.028081528678206003,316,Tunisia,TUN,TUN,20210208
50,0.49537395310831905,0.043472811146046,0.5620689655172411,0.029133902725153003,290,Tunisia,TUN,TUN,20210209
51,0.441110012657182,0.046126763387197005,0.47142857142857103,0.02983189050265,280,Tunisia,TUN,TUN,20210210
52,0.5882661421305311,0.058032519058506,0.505976095617529,0.031557465844433,251,Tunisia,TUN,TUN,20210211
53,0.46983674573794404,0.040810891541122,0.536269430051813,0.025382285877806002,386,Tunisia,TUN,TUN,20210212
54,0.474141521175072,0.044293672812411006,0.5309973045822101,0.025908774601879,371,Tunisia,TUN,TUN,20210213
55,0.517230338359954,0.050850229583455,0.5598455598455591,0.030845142478897,259,Tunisia,TUN,TUN,20210214
56,0.49733865861859805,0.041888170290955005,0.520348837209302,0.026935858611527003,344,Tunisia,TUN,TUN,20210215
57,0.531745905737642,0.05480393009850101,0.521739130434782,0.031405005152809,253,Tunisia,TUN,TUN,20210216
58,0.46090726952695904,0.048629192235204004,0.530685920577617,0.029985458225210003,277,Tunisia,TUN,TUN,20210217
59,0.41954829950488604,0.045498703550543,0.41992882562277506,0.029442543542079,281,Tunisia,TUN,TUN,20210218
60,0.500703599692063,0.04537324911762201,0.5,0.029565619799454,286,Tunisia,TUN,TUN,20210219
61,0.5081119343931091,0.046724385371534005,0.53125,0.031188905122404003,256,Tunisia,TUN,TUN,20210220
62,0.45533698749112006,0.049461541138277006,0.5335968379446641,0.031363686643033004,253,Tunisia,TUN,TUN,20210221
63,0.5201763103146291,0.05128788008863001,0.525096525096525,0.031029327541472,259,Tunisia,TUN,TUN,20210222
64,0.445022758883574,0.052359713870660005,0.48815165876777206,0.034411753806622,211,Tunisia,TUN,TUN,20210223
65,0.47488534486745704,0.044500076771334,0.5,0.029160592175990003,294,Tunisia,TUN,TUN,20210224
66,0.5068233269600501,0.060349401811953,0.561181434599156,0.032234428227037,237,Tunisia,TUN,TUN,20210225
67,0.453432697909095,0.051276114668282004,0.538167938931297,0.030799970781545002,262,Tunisia,TUN,TUN,20210226
68,0.5197485517814371,0.053145041024744,0.544186046511627,0.033966302952332,215,Tunisia,TUN,TUN,20210227
69,0.511899370163551,0.05067717629540101,0.544802867383512,0.029813801083274003,279,Tunisia,TUN,TUN,20210228
70,0.44250464053867705,0.048017734482145004,0.547244094488189,0.03123242784918,254,Tunisia,TUN,TUN,20210301
71,0.385825863250408,0.045641825152337,0.412698412698412,0.031013209733830004,252,Tunisia,TUN,TUN,20210302
72,0.5006588621199001,0.046817627629826004,0.563176895306859,0.029801308326583002,277,Tunisia,TUN,TUN,20210303
73,0.378971727558269,0.043826652687854004,0.49420849420849405,0.031066404060304004,259,Tunisia,TUN,TUN,20210304
74,0.49172291667639006,0.046882155852674,0.5054151624548731,0.030040326447172003,277,Tunisia,TUN,TUN,20210305
75,0.585818062788453,0.05316588131523801,0.5650406504065041,0.031607971735216005,246,Tunisia,TUN,TUN,20210306
76,0.48423943466463604,0.04516126882613301,0.48264984227129304,0.028065885306998002,317,Tunisia,TUN,TUN,20210307
77,0.49595585534796105,0.043658818864979,0.549206349206349,0.028035053749246003,315,Tunisia,TUN,TUN,20210308
78,0.43569179056475704,0.044198736443509,0.5049504950495051,0.028722841533150002,303,Tunisia,TUN,TUN,20210309
79,0.555304903022062,0.049036914526754,0.5370370370370371,0.030345434575622002,270,Tunisia,TUN,TUN,20210310
80,0.49690218189679003,0.045682501384385,0.514522821576763,0.032194242394802,241,Tunisia,TUN,TUN,20210311
81,0.491418978925909,0.05344265836973901,0.577235772357723,0.031496201569170004,246,Tunisia,TUN,TUN,20210312
82,0.5527926759720341,0.051325124575349004,0.5743801652892561,0.031783591003417,242,Tunisia,TUN,TUN,20210313
83,0.49287558137708704,0.050574273011217,0.573170731707317,0.031535632448203,246,Tunisia,TUN,TUN,20210314
84,0.48604543924721005,0.05312282002001201,0.552529182879377,0.031016544157322003,257,Tunisia,TUN,TUN,20210315
85,0.5137784532717,0.044825551559498,0.48062015503875904,0.031105249040401003,258,Tunisia,TUN,TUN,20210316
86,0.458107745595045,0.04443310856836501,0.48571428571428504,0.029868516533021004,280,Tunisia,TUN,TUN,20210317
87,0.559346007112137,0.049492361758278,0.5769230769230761,0.030639519492911,260,Tunisia,TUN,TUN,20210318
88,0.46153263767202,0.044846624979684,0.531914893617021,0.029713850411219003,282,Tunisia,TUN,TUN,20210319
89,0.48405814155393706,0.044075387867221004,0.563176895306859,0.029801308326583002,277,Tunisia,TUN,TUN,20210320
90,0.50038568312827,0.040225833076136,0.5111111111111111,0.028164851629876003,315,Tunisia,TUN,TUN,20210321
91,0.513594079812769,0.046622767909075005,0.5595667870036101,0.029828135742938,277,Tunisia,TUN,TUN,20210322
92,0.530763593314724,0.051590301432978006,0.582417582417582,0.029847435149650003,273,Tunisia,TUN,TUN,20210323
93,0.592699436180612,0.04745304307097101,0.630508474576271,0.028101965554259003,295,Tunisia,TUN,TUN,20210324
94,0.543237005904988,0.046714127905125004,0.638686131386861,0.029020893364648002,274,Tunisia,TUN,TUN,20210325
95,0.561751350619493,0.046065194115185004,0.6220735785953171,0.028040703895342002,299,Tunisia,TUN,TUN,20210326
96,0.56255400643539,0.042622335621767,0.625,0.028139073055671003,296,Tunisia,TUN,TUN,20210327
97,0.580920236950145,0.046764332618453,0.6689655172413791,0.027633728390685,290,Tunisia,TUN,TUN,20210328
98,0.613555084363771,0.04642519869338001,0.649180327868852,0.027325915746774003,305,Tunisia,TUN,TUN,20210329
99,0.681795765945656,0.038775902117607,0.673539518900343,0.027488456520057002,291,Tunisia,TUN,TUN,20210330
100,0.6023557887771931,0.048173087141566005,0.615625,0.027193224074148002,320,Tunisia,TUN,TUN,20210331
101,0.6684136758549041,0.039419343323036,0.6644951140065141,0.026947974818179003,307,Tunisia,TUN,TUN,20210401
102,0.599223831990343,0.043334461647306005,0.6731843575418991,0.024790022000594002,358,Tunisia,TUN,TUN,20210402
103,0.615029172625707,0.041383375641448006,0.6938202247191011,0.024427933477071003,356,Tunisia,TUN,TUN,20210403
104,0.568710787308325,0.04070768447411,0.670391061452513,0.024844032262137,358,Tunisia,TUN,TUN,20210404
105,0.670581297853034,0.038980049013002005,0.662468513853904,0.023732555943308004,397,Tunisia,TUN,TUN,20210405
106,0.636117908561446,0.039383033213626004,0.686182669789227,0.022456620345768,427,Tunisia,TUN,TUN,20210406
107,0.6420807691850811,0.039963956082696005,0.714666666666666,0.023319132186381,375,Tunisia,TUN,TUN,20210407
108,0.579471822460763,0.038675171884085,0.6658031088082901,0.024009353159629,386,Tunisia,TUN,TUN,20210408
109,0.6637337316938471,0.039890084196265004,0.727762803234501,0.023109029370445,371,Tunisia,TUN,TUN,20210409
110,0.7081200697632231,0.035524809536389,0.7329545454545451,0.023580867855978002,352,Tunisia,TUN,TUN,20210410
111,0.620865970899213,0.039835489443898,0.7002801120448171,0.024247086903448,357,Tunisia,TUN,TUN,20210411
112,0.718614590714856,0.035683462497552006,0.7115987460815041,0.025364179482191003,319,Tunisia,TUN,TUN,20210412
113,0.6712426262517001,0.043314787210062,0.7096774193548381,0.025780423919328003,310,Tunisia,TUN,TUN,20210413
114,0.7010418441882691,0.040665268749447,0.7493188010899181,0.022623571382062002,367,Tunisia,TUN,TUN,20210414
115,0.717209712308818,0.03463831335772,0.726190476190476,0.021758297184813,420,Tunisia,TUN,TUN,20210415
116,0.737162367868584,0.032089352944623,0.7369668246445491,0.021432508639509,422,Tunisia,TUN,TUN,20210416
117,0.6837248921837551,0.032121149405305,0.717255717255717,0.020533424570031003,481,Tunisia,TUN,TUN,20210417
118,0.6560139099914141,0.037315394859569,0.7152466367713001,0.021369527220536002,446,Tunisia,TUN,TUN,20210418
119,0.64141486785523,0.038795974333672004,0.7075718015665791,0.023243177341658,383,Tunisia,TUN,TUN,20210419
120,0.654213459985548,0.041121170594405,0.722666666666666,0.023118221128541002,375,Tunisia,TUN,TUN,20210420
121,0.676231321793444,0.035228155766169,0.731934731934731,0.021385913502175002,429,Tunisia,TUN,TUN,20210421
122,0.669784331868849,0.037751470907188,0.73,0.022197972880423,400,Tunisia,TUN,TUN,20210422
123,0.7698775577663141,0.032439166444988,0.757105943152454,0.021798734879944003,387,Tunisia,TUN,TUN,20210423
124,0.677119918649792,0.035854132483132004,0.7039800995024871,0.022768143440752002,402,Tunisia,TUN,TUN,20210424
125,0.669889594841311,0.037134395221225004,0.72,0.021166010488516,450,Tunisia,TUN,TUN,20210425
126,0.6817333066011101,0.033238832331089,0.7356321839080461,0.021144139912967003,435,Tunisia,TUN,TUN,20210426
127,0.728923411651048,0.031178793349366,0.7555555555555551,0.020258954564707003,450,Tunisia,TUN,TUN,20210427
128,0.7190054531102941,0.033316456983125,0.7767857142857141,0.019673091006462,448,Tunisia,TUN,TUN,20210428
