,pct_barrier_reason_otherpeople,barrier_reason_otherpeople_se,pct_barrier_reason_otherpeople_unw,barrier_reason_otherpeople_se_unw,sample_size,country,iso_code,gid_0,survey_date
58,0.39299799999999996,0.055452999999999995,0.333333,0.032075,216,Tunisia,TUN,TUN,20210405
59,0.33816199999999996,0.049289,0.3375,0.030522999999999998,240,Tunisia,TUN,TUN,20210406
60,0.313523,0.049892,0.32653099999999996,0.033496,196,Tunisia,TUN,TUN,20210407
61,0.22153199999999998,0.037273,0.304933,0.030829,223,Tunisia,TUN,TUN,20210408
62,0.32873199999999997,0.054698,0.34951499999999996,0.033221,206,Tunisia,TUN,TUN,20210409
63,0.250064,0.043890000000000005,0.298429,0.033109,191,Tunisia,TUN,TUN,20210410
64,0.273594,0.043671999999999996,0.33513499999999996,0.034705,185,Tunisia,TUN,TUN,20210411
65,0.283833,0.052267999999999995,0.297143,0.034546,175,Tunisia,TUN,TUN,20210412
66,0.29942399999999997,0.053161,0.321212,0.036351,165,Tunisia,TUN,TUN,20210413
67,0.39072399999999996,0.064703,0.340659,0.03513,182,Tunisia,TUN,TUN,20210414
68,0.33439399999999997,0.048713,0.31506799999999996,0.031390999999999995,219,Tunisia,TUN,TUN,20210415
69,0.293546,0.044412,0.334862,0.031964,218,Tunisia,TUN,TUN,20210416
70,0.34071599999999996,0.04478,0.349398,0.030215,249,Tunisia,TUN,TUN,20210417
71,0.24764499999999998,0.036972,0.32478599999999996,0.030612999999999998,234,Tunisia,TUN,TUN,20210418
72,0.383806,0.05423000000000001,0.32142899999999996,0.033359,196,Tunisia,TUN,TUN,20210419
73,0.263794,0.047069,0.290323,0.033282,186,Tunisia,TUN,TUN,20210420
74,0.25989,0.043144999999999996,0.262911,0.030163,213,Tunisia,TUN,TUN,20210421
75,0.359184,0.053746999999999996,0.36815899999999996,0.034019,201,Tunisia,TUN,TUN,20210422
76,0.30801,0.055324,0.312139,0.035228999999999996,173,Tunisia,TUN,TUN,20210423
77,0.259669,0.041,0.313084,0.031701,214,Tunisia,TUN,TUN,20210424
78,0.294844,0.046114999999999996,0.305677,0.030442999999999998,229,Tunisia,TUN,TUN,20210425
79,0.309886,0.044073999999999995,0.336634,0.033249,202,Tunisia,TUN,TUN,20210426
80,0.39121799999999995,0.049862,0.349776,0.031936,223,Tunisia,TUN,TUN,20210427
81,0.349222,0.046833,0.368664,0.03275,217,Tunisia,TUN,TUN,20210428
82,0.325852,0.049582,0.322581,0.034276,186,Tunisia,TUN,TUN,20210429
83,0.296857,0.050171999999999994,0.306878,0.033547,189,Tunisia,TUN,TUN,20210430
84,0.397569,0.049219,0.39252299999999996,0.03338,214,Tunisia,TUN,TUN,20210501
85,0.340504,0.053967999999999995,0.353535,0.033975,198,Tunisia,TUN,TUN,20210502
86,0.336762,0.047568,0.338983,0.03558,177,Tunisia,TUN,TUN,20210503
87,0.282648,0.054039,0.34482799999999997,0.036032999999999996,174,Tunisia,TUN,TUN,20210504
88,0.336103,0.050228999999999996,0.32911399999999996,0.037383,158,Tunisia,TUN,TUN,20210505
89,0.326741,0.057384,0.357143,0.036968,168,Tunisia,TUN,TUN,20210506
90,0.38173599999999996,0.053944,0.375,0.038273,160,Tunisia,TUN,TUN,20210507
91,0.340454,0.052487,0.362573,0.036763,171,Tunisia,TUN,TUN,20210508
92,0.32898000000000005,0.048567,0.403727,0.038668,161,Tunisia,TUN,TUN,20210509
93,0.32020099999999996,0.06097,0.333333,0.039284,144,Tunisia,TUN,TUN,20210510
94,0.389215,0.071268,0.358108,0.03941,148,Tunisia,TUN,TUN,20210511
95,0.35688899999999996,0.060535,0.39726000000000006,0.040497,146,Tunisia,TUN,TUN,20210512
96,0.246936,0.053617,0.29268299999999997,0.041025,123,Tunisia,TUN,TUN,20210514
97,0.393744,0.066534,0.33858299999999997,0.041992,127,Tunisia,TUN,TUN,20210515
98,0.227147,0.07196000000000001,0.2,0.035776999999999996,125,Tunisia,TUN,TUN,20210516
99,0.2592,0.053184999999999996,0.35833299999999996,0.043773,120,Tunisia,TUN,TUN,20210517
100,0.31405000000000005,0.042193999999999995,0.31405000000000005,0.042193999999999995,121,Tunisia,TUN,TUN,20210519
