,pct_barrier_reason_waitlater,barrier_reason_waitlater_se,pct_barrier_reason_waitlater_unw,barrier_reason_waitlater_se_unw,sample_size,country,iso_code,gid_0,survey_date
58,0.511239,0.054002999999999995,0.518519,0.033997,216,Tunisia,TUN,TUN,20210405
59,0.531088,0.051577,0.5625,0.032022,240,Tunisia,TUN,TUN,20210406
60,0.452935,0.052503,0.545918,0.035563,196,Tunisia,TUN,TUN,20210407
61,0.44776499999999997,0.049358,0.506726,0.033479,223,Tunisia,TUN,TUN,20210408
62,0.5696559999999999,0.050948,0.509709,0.03483,206,Tunisia,TUN,TUN,20210409
63,0.445725,0.051608,0.492147,0.036174,191,Tunisia,TUN,TUN,20210410
64,0.454038,0.051427,0.486486,0.036746999999999995,185,Tunisia,TUN,TUN,20210411
65,0.566692,0.054640999999999995,0.5485709999999999,0.037618,175,Tunisia,TUN,TUN,20210412
66,0.5803039999999999,0.057866,0.551515,0.038717999999999995,165,Tunisia,TUN,TUN,20210413
67,0.505248,0.061258,0.472527,0.037006,182,Tunisia,TUN,TUN,20210414
68,0.535215,0.049118999999999996,0.547945,0.033631,219,Tunisia,TUN,TUN,20210415
69,0.493226,0.05412,0.45871599999999996,0.033749,218,Tunisia,TUN,TUN,20210416
70,0.599372,0.045758,0.594378,0.031117,249,Tunisia,TUN,TUN,20210417
71,0.441982,0.049305999999999996,0.42735,0.032339,234,Tunisia,TUN,TUN,20210418
72,0.533288,0.053370999999999995,0.52551,0.035668,196,Tunisia,TUN,TUN,20210419
73,0.46893599999999996,0.055686,0.5,0.036662,186,Tunisia,TUN,TUN,20210420
74,0.490405,0.051767999999999995,0.530516,0.034196,213,Tunisia,TUN,TUN,20210421
75,0.38767599999999997,0.048485,0.477612,0.035232,201,Tunisia,TUN,TUN,20210422
76,0.48865000000000003,0.05661000000000001,0.45086699999999996,0.03783,173,Tunisia,TUN,TUN,20210423
77,0.45288799999999996,0.050755999999999996,0.53271,0.034106,214,Tunisia,TUN,TUN,20210424
78,0.477072,0.054577999999999995,0.471616,0.032987999999999996,229,Tunisia,TUN,TUN,20210425
79,0.435951,0.049546,0.48019799999999996,0.035151999999999996,202,Tunisia,TUN,TUN,20210426
80,0.511038,0.051283999999999996,0.55157,0.033304,223,Tunisia,TUN,TUN,20210427
81,0.538289,0.050699,0.548387,0.033783,217,Tunisia,TUN,TUN,20210428
82,0.5988629999999999,0.051730000000000005,0.532258,0.036585,186,Tunisia,TUN,TUN,20210429
83,0.556203,0.053036,0.5291009999999999,0.036308,189,Tunisia,TUN,TUN,20210430
84,0.48795499999999997,0.050060999999999994,0.490654,0.034172999999999995,214,Tunisia,TUN,TUN,20210501
85,0.575438,0.051203,0.525253,0.035488,198,Tunisia,TUN,TUN,20210502
86,0.40834499999999996,0.049738,0.45197699999999996,0.037409,177,Tunisia,TUN,TUN,20210503
87,0.521987,0.061406999999999996,0.528736,0.037842,174,Tunisia,TUN,TUN,20210504
