,pct_barrier_reason_sideeffects,barrier_reason_sideeffects_se,pct_barrier_reason_sideeffects_unw,barrier_reason_sideeffects_se_unw,sample_size,country,iso_code,gid_0,survey_date
58,0.632348,0.053716,0.583333,0.033545,216,Tunisia,TUN,TUN,20210405
59,0.662484,0.049596999999999995,0.641667,0.030951999999999997,240,Tunisia,TUN,TUN,20210406
60,0.6054269999999999,0.055838,0.6785709999999999,0.033359,196,Tunisia,TUN,TUN,20210407
61,0.518439,0.050156,0.5470849999999999,0.033333999999999996,223,Tunisia,TUN,TUN,20210408
62,0.648021,0.047885,0.650485,0.033221,206,Tunisia,TUN,TUN,20210409
63,0.595303,0.052023,0.6282719999999999,0.034968,191,Tunisia,TUN,TUN,20210410
64,0.649857,0.049207,0.616216,0.035754,185,Tunisia,TUN,TUN,20210411
65,0.597308,0.055298,0.605714,0.036941999999999996,175,Tunisia,TUN,TUN,20210412
66,0.700067,0.054706,0.684848,0.036167,165,Tunisia,TUN,TUN,20210413
67,0.527443,0.061908,0.582418,0.036555,182,Tunisia,TUN,TUN,20210414
68,0.622286,0.047816,0.60274,0.033066,219,Tunisia,TUN,TUN,20210415
69,0.507066,0.054145,0.573394,0.033497,218,Tunisia,TUN,TUN,20210416
70,0.6023959999999999,0.047022999999999995,0.650602,0.030215,249,Tunisia,TUN,TUN,20210417
71,0.568912,0.049408,0.57265,0.032339,234,Tunisia,TUN,TUN,20210418
72,0.524973,0.053425999999999994,0.586735,0.035172999999999996,196,Tunisia,TUN,TUN,20210419
73,0.5138389999999999,0.055955,0.526882,0.036608999999999996,186,Tunisia,TUN,TUN,20210420
74,0.657373,0.047244999999999995,0.619718,0.033263,213,Tunisia,TUN,TUN,20210421
75,0.567558,0.051162,0.572139,0.034898,201,Tunisia,TUN,TUN,20210422
76,0.553509,0.056302,0.5722539999999999,0.037614999999999996,173,Tunisia,TUN,TUN,20210423
77,0.605011,0.049456,0.626168,0.033073,214,Tunisia,TUN,TUN,20210424
78,0.7007800000000001,0.043192999999999995,0.633188,0.031847,229,Tunisia,TUN,TUN,20210425
79,0.6364369999999999,0.046081,0.59901,0.034483,202,Tunisia,TUN,TUN,20210426
80,0.573504,0.050608,0.618834,0.032522999999999996,223,Tunisia,TUN,TUN,20210427
81,0.60053,0.049890000000000004,0.589862,0.03339,217,Tunisia,TUN,TUN,20210428
82,0.594692,0.054492,0.5752689999999999,0.036244,186,Tunisia,TUN,TUN,20210429
83,0.6483949999999999,0.048739,0.57672,0.035939,189,Tunisia,TUN,TUN,20210430
84,0.561924,0.050234,0.574766,0.033795,214,Tunisia,TUN,TUN,20210501
85,0.612364,0.052107999999999995,0.580808,0.035066,198,Tunisia,TUN,TUN,20210502
86,0.5631929999999999,0.052317999999999996,0.587571,0.037001,177,Tunisia,TUN,TUN,20210503
87,0.546613,0.060476999999999996,0.551724,0.037702,174,Tunisia,TUN,TUN,20210504
88,0.539875,0.054152,0.525316,0.039727,158,Tunisia,TUN,TUN,20210505
89,0.603275,0.059787,0.565476,0.038244,168,Tunisia,TUN,TUN,20210506
90,0.526544,0.057522,0.55,0.039330000000000004,160,Tunisia,TUN,TUN,20210507
91,0.600837,0.055650000000000005,0.578947,0.037756,171,Tunisia,TUN,TUN,20210508
92,0.515255,0.057256999999999995,0.534161,0.039313,161,Tunisia,TUN,TUN,20210509
93,0.568009,0.064916,0.583333,0.041083999999999996,144,Tunisia,TUN,TUN,20210510
94,0.7279749999999999,0.052215,0.614865,0.040000999999999995,148,Tunisia,TUN,TUN,20210511
95,0.5813889999999999,0.065356,0.5821919999999999,0.040817,146,Tunisia,TUN,TUN,20210512
96,0.6817200000000001,0.057781,0.6178859999999999,0.043813,123,Tunisia,TUN,TUN,20210514
97,0.624481,0.064845,0.6456689999999999,0.042442999999999995,127,Tunisia,TUN,TUN,20210515
98,0.6655700000000001,0.058582999999999996,0.592,0.043958,125,Tunisia,TUN,TUN,20210516
99,0.542693,0.069851,0.55,0.045415,120,Tunisia,TUN,TUN,20210517
100,0.570248,0.045003999999999995,0.570248,0.045003999999999995,121,Tunisia,TUN,TUN,20210519
