,pct_appointment_tried,appointment_tried_se,pct_appointment_tried_unw,appointment_tried_se_unw,sample_size,country,iso_code,gid_0,survey_date
59,0.682174,0.041305,0.6972109999999999,0.029001,251,Tunisia,TUN,TUN,20210502
60,0.739544,0.041093,0.7688889999999999,0.028103,225,Tunisia,TUN,TUN,20210503
61,0.671128,0.055428,0.7264959999999999,0.029140000000000003,234,Tunisia,TUN,TUN,20210504
62,0.709803,0.041551,0.706468,0.03212,201,Tunisia,TUN,TUN,20210505
63,0.782477,0.038111,0.746269,0.030692999999999998,201,Tunisia,TUN,TUN,20210506
64,0.6390739999999999,0.050242999999999996,0.666667,0.031639,222,Tunisia,TUN,TUN,20210507
65,0.620265,0.049706,0.676991,0.031105999999999998,226,Tunisia,TUN,TUN,20210508
66,0.658808,0.048122,0.753846,0.026715,260,Tunisia,TUN,TUN,20210509
67,0.6607459999999999,0.056720000000000007,0.736364,0.029706,220,Tunisia,TUN,TUN,20210510
68,0.733313,0.053611,0.75,0.028932,224,Tunisia,TUN,TUN,20210511
69,0.667563,0.051755999999999996,0.707692,0.032570999999999996,195,Tunisia,TUN,TUN,20210512
70,0.6463500000000001,0.057322,0.701754,0.034984999999999995,171,Tunisia,TUN,TUN,20210513
71,0.6485179999999999,0.052077,0.705,0.032247,200,Tunisia,TUN,TUN,20210514
72,0.608448,0.057897,0.7172769999999999,0.032584,191,Tunisia,TUN,TUN,20210515
73,0.721291,0.0601,0.77095,0.031409,179,Tunisia,TUN,TUN,20210516
74,0.6829259999999999,0.051342,0.742331,0.034256,163,Tunisia,TUN,TUN,20210517
75,0.664052,0.057816,0.74026,0.035335,154,Tunisia,TUN,TUN,20210518
76,0.6621619999999999,0.038877999999999996,0.6621619999999999,0.038877999999999996,148,Tunisia,TUN,TUN,20210519
