,pct_barrier_reason_dontlike,barrier_reason_dontlike_se,pct_barrier_reason_dontlike_unw,barrier_reason_dontlike_se_unw,sample_size,country,iso_code,gid_0,survey_date
58,0.07259199999999999,0.03697,0.087963,0.019271999999999997,216,Tunisia,TUN,TUN,20210405
59,0.138896,0.041887,0.1125,0.020395999999999997,240,Tunisia,TUN,TUN,20210406
60,0.117577,0.032608,0.10204099999999999,0.021622,196,Tunisia,TUN,TUN,20210407
61,0.11727000000000001,0.029050999999999997,0.125561,0.022189,223,Tunisia,TUN,TUN,20210408
62,0.069904,0.022979,0.082524,0.019171,206,Tunisia,TUN,TUN,20210409
63,0.109068,0.033134,0.104712,0.022154999999999998,191,Tunisia,TUN,TUN,20210410
64,0.19128599999999998,0.041444999999999996,0.15135099999999999,0.026348999999999997,185,Tunisia,TUN,TUN,20210411
65,0.038431,0.014103,0.068571,0.019104,175,Tunisia,TUN,TUN,20210412
66,0.10246799999999999,0.031290000000000005,0.127273,0.025946,165,Tunisia,TUN,TUN,20210413
67,0.07488199999999999,0.023891,0.09890099999999999,0.022128,182,Tunisia,TUN,TUN,20210414
68,0.113108,0.029873999999999998,0.09589,0.019896,219,Tunisia,TUN,TUN,20210415
69,0.135545,0.033642,0.119266,0.021951,218,Tunisia,TUN,TUN,20210416
70,0.07037299999999999,0.017438,0.096386,0.018702,249,Tunisia,TUN,TUN,20210417
71,0.108371,0.028776999999999997,0.10683799999999999,0.020194,234,Tunisia,TUN,TUN,20210418
72,0.110444,0.027769,0.12244899999999999,0.023415,196,Tunisia,TUN,TUN,20210419
73,0.147805,0.044341,0.11290299999999999,0.023205,186,Tunisia,TUN,TUN,20210420
74,0.195234,0.046,0.13615000000000002,0.023497999999999998,213,Tunisia,TUN,TUN,20210421
75,0.10931099999999999,0.026508,0.12437799999999999,0.023277,201,Tunisia,TUN,TUN,20210422
76,0.13356099999999999,0.032195999999999995,0.150289,0.027169,173,Tunisia,TUN,TUN,20210423
77,0.099022,0.024256,0.12149499999999999,0.022333,214,Tunisia,TUN,TUN,20210424
78,0.16737000000000002,0.053027,0.104803,0.020241,229,Tunisia,TUN,TUN,20210425
79,0.085072,0.025,0.10396000000000001,0.021474,202,Tunisia,TUN,TUN,20210426
80,0.08866199999999999,0.026154,0.09865499999999999,0.019969,223,Tunisia,TUN,TUN,20210427
81,0.10406399999999999,0.031293,0.11981599999999999,0.022045,217,Tunisia,TUN,TUN,20210428
82,0.11090799999999999,0.047914,0.080645,0.019965,186,Tunisia,TUN,TUN,20210429
83,0.08247399999999999,0.027596,0.09523799999999999,0.021352,189,Tunisia,TUN,TUN,20210430
84,0.096805,0.033585,0.08411199999999999,0.018973,214,Tunisia,TUN,TUN,20210501
85,0.134074,0.041159,0.121212,0.023194,198,Tunisia,TUN,TUN,20210502
86,0.07201199999999999,0.026397,0.073446,0.019608,177,Tunisia,TUN,TUN,20210503
87,0.07574399999999999,0.027226,0.08620699999999999,0.021276999999999997,174,Tunisia,TUN,TUN,20210504
88,0.106706,0.026986,0.126582,0.026452999999999997,158,Tunisia,TUN,TUN,20210505
89,0.17361000000000001,0.056126999999999996,0.10119,0.023267,168,Tunisia,TUN,TUN,20210506
90,0.130712,0.03488,0.125,0.026146,160,Tunisia,TUN,TUN,20210507
91,0.13636199999999998,0.041776,0.128655,0.025604,171,Tunisia,TUN,TUN,20210508
92,0.085392,0.032478,0.068323,0.019884,161,Tunisia,TUN,TUN,20210509
93,0.09460299999999999,0.0317,0.090278,0.023882,144,Tunisia,TUN,TUN,20210510
94,0.08708199999999999,0.028796,0.121622,0.026867,148,Tunisia,TUN,TUN,20210511
95,0.10969699999999999,0.046477,0.10274000000000001,0.025127999999999998,146,Tunisia,TUN,TUN,20210512
96,0.191299,0.050003,0.186992,0.035157,123,Tunisia,TUN,TUN,20210514
97,0.056652999999999995,0.023438,0.07874,0.023899,127,Tunisia,TUN,TUN,20210515
98,0.117424,0.071121,0.08,0.024265,125,Tunisia,TUN,TUN,20210516
99,0.24731599999999998,0.074352,0.125,0.03019,120,Tunisia,TUN,TUN,20210517
100,0.14876,0.032350000000000004,0.14876,0.032350000000000004,121,Tunisia,TUN,TUN,20210519
