,pct_trust_politicians,trust_politicians_se,pct_trust_politicians_unw,trust_politicians_se_unw,sample_size,country,iso_code,gid_0,survey_date
57,0.411337,0.064941,0.454545,0.047476,110,Tunisia,TUN,TUN,20210408
58,0.45769899999999997,0.067658,0.5,0.046828999999999996,114,Tunisia,TUN,TUN,20210409
59,0.293333,0.061338,0.34,0.047370999999999996,100,Tunisia,TUN,TUN,20210412
60,0.48660699999999996,0.068602,0.42056099999999996,0.047722999999999995,107,Tunisia,TUN,TUN,20210414
61,0.377648,0.059558,0.42446000000000006,0.041922999999999995,139,Tunisia,TUN,TUN,20210415
62,0.29051899999999997,0.05539,0.360294,0.041166999999999995,136,Tunisia,TUN,TUN,20210416
63,0.475049,0.062491,0.41666699999999995,0.039472,156,Tunisia,TUN,TUN,20210417
64,0.369799,0.066138,0.37037000000000003,0.041561999999999995,135,Tunisia,TUN,TUN,20210418
65,0.471224,0.082575,0.40566,0.047692,106,Tunisia,TUN,TUN,20210419
66,0.42197599999999996,0.072526,0.457627,0.045863,118,Tunisia,TUN,TUN,20210420
67,0.438808,0.064013,0.394161,0.04175,137,Tunisia,TUN,TUN,20210421
68,0.331014,0.056144,0.367647,0.041345,136,Tunisia,TUN,TUN,20210422
69,0.397837,0.07907399999999999,0.352941,0.043808,119,Tunisia,TUN,TUN,20210423
70,0.452364,0.068733,0.38843000000000005,0.044308,121,Tunisia,TUN,TUN,20210424
71,0.42858599999999997,0.069954,0.364865,0.03957,148,Tunisia,TUN,TUN,20210425
72,0.406751,0.06537699999999999,0.34532399999999996,0.040329,139,Tunisia,TUN,TUN,20210426
73,0.385154,0.066698,0.368794,0.040632,141,Tunisia,TUN,TUN,20210427
74,0.5543300000000001,0.063286,0.41984699999999997,0.043120000000000006,131,Tunisia,TUN,TUN,20210428
75,0.411609,0.066715,0.35483899999999996,0.042967,124,Tunisia,TUN,TUN,20210429
76,0.38729399999999997,0.078486,0.36885199999999996,0.043683,122,Tunisia,TUN,TUN,20210430
77,0.41570399999999996,0.05908000000000001,0.38297899999999996,0.040937999999999995,141,Tunisia,TUN,TUN,20210501
