,pct_barrier_reason_wontwork,barrier_reason_wontwork_se,pct_barrier_reason_wontwork_unw,barrier_reason_wontwork_se_unw,sample_size,country,iso_code,gid_0,survey_date
57,0.437811,0.051086,0.39252299999999996,0.03338,214,Tunisia,TUN,TUN,20210404
58,0.3682,0.050785,0.40277799999999997,0.033371,216,Tunisia,TUN,TUN,20210405
59,0.393997,0.048752,0.41250000000000003,0.031777,240,Tunisia,TUN,TUN,20210406
60,0.431297,0.052742,0.48469399999999996,0.035698,196,Tunisia,TUN,TUN,20210407
61,0.357935,0.047782,0.394619,0.03273,223,Tunisia,TUN,TUN,20210408
62,0.5093449999999999,0.05306,0.475728,0.034796,206,Tunisia,TUN,TUN,20210409
63,0.426377,0.052385,0.40314099999999997,0.035493,191,Tunisia,TUN,TUN,20210410
64,0.49383099999999996,0.052055,0.491892,0.036756,185,Tunisia,TUN,TUN,20210411
65,0.448611,0.055693,0.45714299999999997,0.037656999999999996,175,Tunisia,TUN,TUN,20210412
66,0.488328,0.059890000000000006,0.484848,0.038907,165,Tunisia,TUN,TUN,20210413
67,0.372102,0.054539,0.445055,0.036837999999999996,182,Tunisia,TUN,TUN,20210414
68,0.44479399999999997,0.04735,0.474886,0.033743999999999996,219,Tunisia,TUN,TUN,20210415
69,0.40742799999999996,0.051420999999999994,0.426606,0.033497,218,Tunisia,TUN,TUN,20210416
70,0.45968000000000003,0.046148999999999996,0.48192799999999997,0.031666,249,Tunisia,TUN,TUN,20210417
71,0.423907,0.048957999999999995,0.41025599999999995,0.032154999999999996,234,Tunisia,TUN,TUN,20210418
72,0.517349,0.053118,0.520408,0.035685,196,Tunisia,TUN,TUN,20210419
73,0.360129,0.050822,0.430108,0.036302,186,Tunisia,TUN,TUN,20210420
74,0.47364199999999995,0.052090000000000004,0.460094,0.03415,213,Tunisia,TUN,TUN,20210421
75,0.422797,0.054241,0.422886,0.034845,201,Tunisia,TUN,TUN,20210422
76,0.515272,0.056353999999999994,0.49132899999999996,0.038009,173,Tunisia,TUN,TUN,20210423
77,0.444669,0.051490999999999995,0.462617,0.034083999999999996,214,Tunisia,TUN,TUN,20210424
78,0.481407,0.054144,0.475983,0.033003,229,Tunisia,TUN,TUN,20210425
79,0.453723,0.049268,0.544554,0.03504,202,Tunisia,TUN,TUN,20210426
80,0.41839299999999996,0.049285999999999996,0.434978,0.033198,223,Tunisia,TUN,TUN,20210427
81,0.493438,0.050658999999999996,0.483871,0.033925,217,Tunisia,TUN,TUN,20210428
82,0.480554,0.055027,0.446237,0.036448999999999995,186,Tunisia,TUN,TUN,20210429
83,0.421356,0.053434999999999996,0.428571,0.035997,189,Tunisia,TUN,TUN,20210430
84,0.427907,0.049295,0.429907,0.033842,214,Tunisia,TUN,TUN,20210501
85,0.448812,0.0526,0.5202019999999999,0.035504,198,Tunisia,TUN,TUN,20210502
86,0.453194,0.051191,0.44067799999999996,0.037316999999999996,177,Tunisia,TUN,TUN,20210503
87,0.320365,0.049604999999999996,0.47126399999999996,0.037842,174,Tunisia,TUN,TUN,20210504
88,0.414323,0.054175999999999995,0.398734,0.038953,158,Tunisia,TUN,TUN,20210505
89,0.374621,0.059169,0.38095199999999996,0.037466,168,Tunisia,TUN,TUN,20210506
90,0.49071000000000004,0.057600000000000005,0.4375,0.039217999999999996,160,Tunisia,TUN,TUN,20210507
91,0.39198299999999997,0.053311,0.46198799999999995,0.038125,171,Tunisia,TUN,TUN,20210508
92,0.37388899999999997,0.054018,0.40993799999999997,0.038761,161,Tunisia,TUN,TUN,20210509
93,0.438589,0.063961,0.493056,0.041663,144,Tunisia,TUN,TUN,20210510
94,0.512713,0.068978,0.46621599999999996,0.041006,148,Tunisia,TUN,TUN,20210511
95,0.428952,0.06271299999999999,0.44520499999999996,0.041131,146,Tunisia,TUN,TUN,20210512
96,0.35578699999999996,0.057583999999999996,0.43902399999999997,0.044746999999999995,123,Tunisia,TUN,TUN,20210514
97,0.477446,0.06694599999999999,0.488189,0.044355,127,Tunisia,TUN,TUN,20210515
98,0.531863,0.068534,0.47200000000000003,0.044650999999999996,125,Tunisia,TUN,TUN,20210516
99,0.391221,0.06919299999999999,0.4,0.044721,120,Tunisia,TUN,TUN,20210517
100,0.421488,0.044891,0.421488,0.044891,121,Tunisia,TUN,TUN,20210519
