,pct_informed_access,informed_access_se,pct_informed_access_unw,informed_access_se_unw,sample_size,country,iso_code,gid_0,survey_date
58,0.606317,0.039620999999999996,0.6320749999999999,0.027042999999999998,318,Tunisia,TUN,TUN,20210429
59,0.675389,0.039466,0.602374,0.026660000000000003,337,Tunisia,TUN,TUN,20210430
60,0.552963,0.044121999999999995,0.555901,0.027689,322,Tunisia,TUN,TUN,20210501
61,0.6337119999999999,0.040624,0.6281249999999999,0.027018,320,Tunisia,TUN,TUN,20210502
62,0.621027,0.040542999999999996,0.626761,0.0287,284,Tunisia,TUN,TUN,20210503
63,0.6561469999999999,0.046326,0.6722969999999999,0.027281999999999997,296,Tunisia,TUN,TUN,20210504
64,0.6284339999999999,0.042329,0.6491939999999999,0.030303999999999998,248,Tunisia,TUN,TUN,20210505
65,0.649745,0.049458999999999996,0.6641509999999999,0.029012,265,Tunisia,TUN,TUN,20210506
66,0.558879,0.045416,0.60223,0.029841999999999997,269,Tunisia,TUN,TUN,20210507
67,0.6552859999999999,0.041047,0.6581819999999999,0.028603,275,Tunisia,TUN,TUN,20210508
68,0.585861,0.042893999999999995,0.59164,0.027871999999999997,311,Tunisia,TUN,TUN,20210509
69,0.604155,0.049540999999999995,0.641791,0.029289,268,Tunisia,TUN,TUN,20210510
70,0.569759,0.056096,0.645756,0.029054,271,Tunisia,TUN,TUN,20210511
71,0.6317539999999999,0.046686,0.670732,0.029963,246,Tunisia,TUN,TUN,20210512
72,0.639778,0.056940000000000004,0.6767679999999999,0.033239,198,Tunisia,TUN,TUN,20210513
73,0.646208,0.045160000000000006,0.644628,0.030767,242,Tunisia,TUN,TUN,20210514
74,0.633895,0.050943999999999996,0.7074239999999999,0.030063999999999997,229,Tunisia,TUN,TUN,20210515
75,0.595634,0.052182,0.626087,0.031904,230,Tunisia,TUN,TUN,20210516
76,0.5674779999999999,0.05455,0.61194,0.034372,201,Tunisia,TUN,TUN,20210517
77,0.5644600000000001,0.055518,0.620321,0.035489,187,Tunisia,TUN,TUN,20210518
78,0.5792349999999999,0.036494,0.5792349999999999,0.036494,183,Tunisia,TUN,TUN,20210519
